#levels	sections	uncapped	maxcap	medcap	spawns	maxburst	pak
12	5	2	100	3	40	19	Mega Sonic.pak
19	57	0	8	3	508	43	Mega-Boy Into the Mega World.pak
13	24	8	100	4	410	37	MegaMan - War of the Past.pak
28	101	0	9	4	910	36	MegaMan - Xtreme Legend.pak
54	40	0	4	1	683	13	MegaMan Armada.pak
12	35	6	100	3	356	150	Melty Blood Stimulate.pak
27	18	6	100	3	201	19	Memory Loss.pak
24	98	16	100	3	898	60	Metal Gear Origin.pak
43	127	0	13	2	1360	146	Metal Slug Beat Em Up.pak
26	44	0	5	4	325	18	Mighty Final Fight 3.pak
8	31	7	2000	3	275	41	Mighty Final Fight Forever.pak
15	31	0	5	4	216	18	Mighty Final Fight X.pak
53	6	3	100	100	512	21	Minetroid.pak
7	36	0	4	3	542	197	Mobile Suit Zeta Gundam.pak
76	88	6	100	2	1228	69	Monster Girl Dimensions.pak
1	0	0	0	0	0	0	Monster Jam [Demo].pak
59	506	100	100	1	3452	95	Mortal Kombat - The Chosen One.pak
37	242	65	100	8	1896	61	Mortal Kombat Outworld Assassins.pak
36	146	3	100	4	1114	69	Mortal Kombat Unlimited.pak
160	138	10	100	4	1585	329	Moscow RE-Action.pak
4	7	3	100	4	88	17	Naruto.pak
22	55	8	100	4	673	31	Nelsoncomica.pak
31	51	0	6	4	924	76	Neon Lightning Force.pak
13	0	0	0	0	194	15	Never Ending Story.pak
33	96	25	100	5	1005	60	Night Slashers X.pak
35	124	9	100	4	1413	75	Nightmare on Elm Street - Dreams of Rage.pak
10	8	1	100	3	108	15	Ninja - Stealth Assassins.pak
17	57	15	100	4	694	64	Ninja Jiraya.pak
4	26	4	100	5	398	83	Ninja Warriors vs Marvel.pak
34	26	2	100	4	430	31	Ogres Mayhem.pak
17	38	0	13	4	523	63	One Piece - Grand Line Bout.pak
8	29	0	6	4	199	42	Overload.pak
14	30	12	100	6	1019	34	Pafman [Demo].pak
8	23	10	100	3	175	19	Panda Warriors.pak
34	7	0	10	4	1509	80	Pestilaence - The New Plague.pak
4	0	0	0	0	28	16	Pew Pew Dadu.pak
16	23	0	5	4	219	35	Phantasy Star II + IV [Demo].pak
4	21	0	6	5	132	40	Phantasy Star Online.pak
28	3	0	1	1	557	35	Plump on the Stump.pak
64	192	0	9	3	1898	71	Pocket Dimensional Clash 2.pak
26	89	0	9	5	1059	59	Pocket Ladies Gang War.pak
4	32	0	3	1	65	17	Pokemon - Red Blue Yellow.pak
29	28	2	100	9	421	49	Pokemon Rumble 2D.pak
84	0	0	0	0	1999	52	Poppy Playtime Brawl [Demo].pak
32	23	3	100	4	400	54	Porkchop 'n Flatscreen.pak
19	84	0	5	2	801	42	POW 2010.pak
23	20	0	4	2	630	26	POW Remake.pak
31	210	12	100	4	3707	2917	Power Rangers - Beats of Power Special Edition.pak
25	88	0	9	5	854	54	Pretty Soldier Sailor Moon - R Plus.pak
34	100	0	5	2	751	155	Project FGC.pak
49	114	0	3	1	930	128	Project Moon [Demo].pak
5	11	8	100	100	183	25	Project R.pak
8	18	0	10	7	869	158	Punisher, The and Nick Fury.pak
60	21	0	4	1	1431	44	Puzzle Puss.pak
19	38	0	4	4	1446	68	Quack Ninja.pak
3	28	0	3	2	201	28	Rael - The Redemption.pak
101	359	0	15	4	2934	96	Rage Force Briga De Rua.pak
203	689	180	100	4	8027	107	Rage of the Streets.pak
11	44	13	100	2	303	107	Raider & Reaper.pak
75	159	0	3	1	678	46	Raiders Rush.pak
17	56	0	7	1	200	50	Rainbow.pak
24	20	0	1	1	95	15	Real Bout Pro Wrestling.pak
75	293	0	22	4	5980	266	Recca Soldiers - Advance Wars.pak
99	649	0	99	4	7142	264	Red Cyclone Zangief.pak
4	12	0	1	1	12	37	Red Earth.pak
502	890	19	100	3	8860	70	Rescue Command - Against the Amazon Girls.pak
388	531	11	100	3	7516	93	Rescue Command Ep. 1 - Escaping from Bad Girls Island.pak
322	488	27	100	3	6026	79	Rescue Command Ep. 2 Attack on Amazon Island.pak
27	19	0	5	5	552	164	Resident Evil Survive.pak
33	70	0	10	4	1298	198	Retro Gamer Adventure.pak
93	240	0	5	4	1584	50	Return of Double Dragon.pak
12	47	0	5	3	456	60	Return of Kyo, The.pak
26	142	4	100	4	1182	75	Rhythm of Destruction 2 - Blue Edition.pak
25	136	4	100	4	1149	75	Rhythm of Destruction 2 - Green Edition.pak
26	142	4	100	4	1182	75	Rhythm of Destruction 2 - Red Edition.pak
20	26	0	5	3	198	56	River City Ransom Zero.pak
141	34	14	100	2	1640	27	Robo Magi.pak
82	206	0	3	1	681	26	Robz Rush.pak
79	115	3	100	3	894	28	Rocket Viper 2.pak
27	57	0	10	3	409	47	Rocket Viper.pak
5	28	16	999	999	547	42	Rocko's Modern Life.pak
22	18	0	6	4	286	37	Roy Streets.pak
44	30	4	100	1	407	30	Ruins of the Deep.pak
26	114	35	100	3	563	46	Rushing Beat.pak
100	46	0	8	3	2904	97	Ryuko No Ken Nekketsu.pak
23	39	16	100	3	351	19	S.C.U. - Special Criminal Unit.pak
85	533	0	6	3	5568	101	Sailor Moon - Alternate Story Return Of The Clones.pak
17	75	21	100	3	562	86	Sailor Moon Arcade.pak
14	51	0	9	4	468	52	Sailor Moon.pak
31	193	0	27	4	1407	74	Sailormoon Alternate Story Clone Attack.pak
50	16	4	100	4	1515	39	Saint Seiya - Death & Rebirth.pak
12	16	0	3	2	84	22	Samurai Warriors.pak
24	30	0	3	1	311	70	Scorer Horror.pak
1	0	0	0	0	0	0	Search for Athena, The.pak
32	69	11	100	1	345	29	Secrets of the Deep.pak
197	416	92	100	8	6281	169	Sega Brawlers Megamix.pak
29	121	17	100	3	746	177	Shadows of Death.pak
77	185	28	100	5	2077	107	Shiva & Lisa 2.pak
107	301	33	100	5	3164	107	Shiva & Lisa 3.pak
51	102	26	100	4	1304	107	Shiva & Lisa.pak
4	13	0	5	4	237	76	Shock Troopers - The Living Daylights.pak
20	5	2	100	3	451	31	Shodown Revenge.pak
114	24	0	99	2	7175	112	Silver Night's Crusaders.pak
65	187	0	6	3	1531	60	Simpsons, The - Treehouse of Horror.pak
30	76	0	6	3	372	37	Skull Kingz Remake.pak
8	17	0	8	2	879	253	Snail N Turtle.pak
6	20	0	10	5	264	116	Snestalgia.pak
233	1031	184	100	7	13565	236	Sonic Adventure - Revolution.pak
59	12	0	8	6	438	53	Sonic Defense.pak
20	106	0	12	2	994	171	Sonic SatAM Liberations.pak
109	135	20	100	6	10682	3136	Sonic Super Jam.pak
27	20	0	10	4	659	43	Sonics Splatterhouse.pak
2	6	0	3	3	49	15	SonicX Battle.pak
30	150	0	12	5	2070	117	Soul Edge II.pak
25	5	0	9	9	1823	120	Spawn - The Crusade Across Time.pak
22	48	6	100	2	319	58	Special Squadron Cyberman.pak
57	27	0	6	3	1572	20	Splatterhouse - Back from the Dead.pak
